TOWN,COUNTY,PresDem,PresRep,PresTot
T7 R6 WELS,Penobscot,0,0,0
Forsyth,Somerset,0,0,0
T9 R16 WELS,Somerset,0,0,0
Starks,Somerset,151,242,415
Friendship,Knox,303,523,848
T37 MD BPP,Washington,0,0,0
T5 R18 WELS,Somerset,0,0,0
Baileyville,Washington,221,468,701
Lubec,Washington,480,409,916
Bradstreet,Somerset,0,0,0
T12 R14 WELS,Aroostook,0,0,0
Misery,Somerset,0,0,0
TB R11 WELS,Piscataquis,0,0,0
Big W,Somerset,0,0,0
Monticello,Aroostook,80,337,423
Amity,Aroostook,31,126,160
Otisfield,Oxford,547,660,1246
T4 R14 WELS,Piscataquis,0,0,0
Ludlow,Aroostook,61,185,257
T11 R17 WELS,Aroostook,0,0,0
Stetsontown,Franklin,0,0,0
Westport Island,Lincoln,313,236,568
T10 R15 WELS,Piscataquis,0,0,0
Hanover,Oxford,111,82,204
TA R11 WELS,Piscataquis,0,0,0
Bangor,Penobscot,9332,6212,16098
Roxbury,Oxford,89,168,262
Hermon,Penobscot,1522,2530,4156
T14 R11 WELS,Aroostook,0,0,0
West Paris,Oxford,385,631,1044
Hartland,Somerset,293,663,986
Freeman,Franklin,0,0,0
Oxbow North Twp,Aroostook,13,29,45
Bowmantown,Oxford,0,0,0
Forest City,Washington,0,0,0
T2 R8 NWP,Penobscot,0,0,0
Dexter,Penobscot,693,1271,2015
Pittston Academy Grant,Somerset,0,0,0
Orono,Penobscot,3676,1523,5471
Livermore,Androscoggin,565,835,1441
T7 R17 WELS,Somerset,0,0,0
T6 ND BPP,Washington,0,0,0
Whitefield,Lincoln,677,758,1497
Minot,Androscoggin,701,1120,1867
Lower Cupsuptic,Oxford,0,0,0
Tim Pond,Franklin,0,0,0
Coplin Plantation,Franklin,71,40,116
Moosehead Junction,Piscataquis,0,0,0
Bigelow,Somerset,0,0,0
Big Six,Somerset,0,0,0
T12 R7 WELS,Aroostook,0,0,0
South Berwick,York,2758,1833,4744
Richardsontown,Oxford,0,0,0
Verona Island,Hancock,157,198,368
Liberty,Waldo,283,327,636
Brownville/Twps,Piscataquis,248,539,810
East Machias,Washington,275,560,855
Stacyville,Penobscot,37,154,194
Washburn,Aroostook,246,532,799
T6 R7 WELS,Penobscot,0,0,0
Sullivan,Hancock,362,392,767
Farmington,Franklin,2185,1659,4020
T15 R9 WELS,Aroostook,0,0,0
Edinburg,Penobscot,29,69,101
T8 R17 WELS,Somerset,0,0,0
T4 R5 NBKP,Somerset,0,0,0
Standish,Cumberland,2872,3310,6355
Sidney,Kennebec,1215,1887,3193
Township D,Franklin,0,0,0
Penobscot Nation Voting District,Penobscot,241,62,318
Township C,Oxford,0,0,0
Misery Gore,Somerset,0,0,0
Woodville,Penobscot,20,122,148
Pittston,Kennebec,681,1117,1848
Peru,Oxford,284,584,900
Shapleigh,York,728,1116,1897
Township E,Franklin,0,0,0
T1 R8 WELS,Penobscot,0,0,0
Tremont,Hancock,584,438,1060
T40 MD BPP,Hancock,0,0,0
T10 R10 WELS,Piscataquis,0,0,0
Kibby,Franklin,0,0,0
Gorham,Cumberland,6723,4427,11560
Scopan,Aroostook,0,0,0
T6 R1 NBPP,Washington,0,0,0
Charlotte,Washington,77,148,228
Jay,Franklin,1152,1469,2707
Fryeburg,Oxford,1120,882,2084
Brunswick,Cumberland,10299,3746,14641
Franklin/Twps,Hancock,416,537,979
T1 R5 WELS,Aroostook,0,0,0
Harmony,Somerset,155,350,515
Ogunquit,York,775,310,1115
Fowler,Washington,0,0,0
T7 R19 WELS,Somerset,0,0,0
Medway/Twps,Penobscot,190,541,746
Rome,Kennebec,341,370,729
Kennebunkport,York,1765,963,2816
Bath,Sagadahoc,3492,1581,5265
Eagle Lake,Piscataquis,0,0,0
T4 R9 NWP,Piscataquis,0,0,0
Northfield,Washington,44,88,135
T13 R15 WELS,Aroostook,0,0,0
T1 R12 WELS,Piscataquis,0,0,0
Richmond,Sagadahoc,966,1143,2190
North Haven,Knox,207,80,307
T8 R5 WELS,Aroostook,0,0,0
Calais,Washington,599,863,1508
Waite,Washington,15,33,51
Chebeague Island,Cumberland,254,53,323
Brassua,Somerset,0,0,0
Parkertown,Oxford,0,0,0
T16 R13 WELS,Aroostook,0,0,0
Lee,Penobscot,137,400,548
Kingman Twp,Penobscot,5,69,77
Criehaven,Knox,0,0,0
Moscow/Twps,Somerset,69,218,294
Falmouth,Cumberland,6205,2520,9044
Berwick,York,2131,2429,4713
Indian Township,Washington,182,88,279
Beals,Washington,93,189,291
Albany Township,Oxford,156,172,345
Greenlaw Chopping Twp,Washington,5,9,15
Naples,Cumberland,1031,1479,2592
Temple,Franklin,156,166,335
Forest,Washington,0,0,0
Dixfield,Oxford,427,870,1335
Palermo,Waldo,408,614,1063
Baring Plantation,Washington,52,80,135
T15 R13 WELS,Aroostook,0,0,0
T7 R9 WELS,Piscataquis,0,0,0
T19 R12 WELS,Aroostook,0,0,0
T10 R7 WELS,Aroostook,0,0,0
North Yarmouth,Cumberland,1946,1034,3093
Mount Vernon,Kennebec,566,586,1194
Searsmont,Waldo,448,488,976
Amherst,Hancock,71,131,211
Big Ten,Somerset,0,0,0
South Bristol,Lincoln,447,251,736
Westmanland,Aroostook,27,31,63
Fayette,Kennebec,399,457,881
T5 R8 WELS,Penobscot,0,0,0
Hamlin,Aroostook,41,67,110
T16 R14 WELS,Aroostook,0,0,0
Portage Lake,Aroostook,93,156,272
Monmouth,Kennebec,1070,1476,2640
Upper Enchanted,Somerset,0,0,0
T3 Indian Purchase,Penobscot,0,0,0
Madawaska Lake,Aroostook,0,0,0
Eliot,York,2724,1823,4704
Sabattus,Androscoggin,1059,1913,3063
Stockholm,Aroostook,61,89,155
T6 R10 WELS,Piscataquis,0,0,0
Westfield,Aroostook,77,193,278
Eddington,Penobscot,520,940,1501
Cushing,Knox,445,566,1042
Brewer,Penobscot,2550,2615,5377
T16 R8 WELS,Aroostook,0,0,0
Scarborough,Cumberland,9961,5117,15623
Ripley,Somerset,102,209,318
TA R2 WELS,Aroostook,0,0,0
T39 MD BPP,Hancock,0,0,0
Saint John,Somerset,0,0,0
Warren,Knox,980,1372,2423
Wilton/Twps,Franklin,969,1176,2217
Herseytown Twp,Penobscot,2,12,14
T28 MD BPP,Hancock,0,0,0
Marion,Washington,0,0,0
T7 R12 WELS,Piscataquis,0,0,0
Cornville,Somerset,283,535,841
Exeter,Penobscot,159,391,562
Clifton,Penobscot,202,329,544
T2 R13 WELS,Piscataquis,0,0,0
Indian Stream,Somerset,0,0,0
T13 R13 WELS,Aroostook,0,0,0
Columbia,Washington,68,169,244
T9 R17 WELS,Somerset,0,0,0
Rangeley Plt,Franklin,58,96,158
Marshfield,Washington,110,224,342
Paris,Oxford,1206,1683,2974
Gilead,Oxford,58,64,133
Dudley,Aroostook,0,0,0
Soldiertown T2 R3 NBKP,Somerset,0,0,0
Alton,Penobscot,188,338,544
Grand Falls,Penobscot,0,0,0
Machias,Washington,406,514,968
T14 R9 WELS,Aroostook,0,0,0
T2 R8 WELS,Penobscot,0,0,0
Thorndike,Waldo,212,240,467
Grand Isle,Aroostook,91,134,237
T7 R11 WELS,Piscataquis,0,0,0
Upton,Oxford,15,41,57
Cumberland,Cumberland,4232,1672,6130
Barnard,Piscataquis,0,0,0
Sedgwick,Hancock,538,312,878
Dole Brook,Somerset,0,0,0
Veazie Gore,Penobscot,0,0,0
T13 R14 WELS,Aroostook,0,0,0
Dayton,York,624,810,1480
Sebec,Piscataquis,111,306,429
T6 R6 WELS,Penobscot,0,0,0
Elliottsville,Piscataquis,0,0,0
Rangeley/Twps,Franklin,341,513,889
T4 R11 WELS,Piscataquis,0,0,0
Steuben/T7 SD Twp,Washington,271,458,746
Soper Mountain,Piscataquis,0,0,0
Gardiner,Kennebec,1739,1273,3387
T11 R9 WELS,Aroostook,0,0,0
Addison,Washington,253,491,756
Harrington,Washington,155,384,559
Waldo County Island,Waldo,0,0,0
Garfield Plantation,Aroostook,13,41,56
T8 R11 WELS,Piscataquis,0,0,0
Northeast Carry,Piscataquis,0,0,0
T15 R5 WELS,Aroostook,0,0,0
Saint Croix,Aroostook,0,0,0
Weld,Franklin,159,133,334
Southwest Harbor,Hancock,737,375,1148
Union,Knox,762,863,1685
Piscataquis County Island,Piscataquis,0,0,0
Osborn,Hancock,11,35,49
Oxford,Oxford,803,1609,2474
Grand Lake Stream Plantation,Washington,32,75,109
Waterford,Oxford,460,572,1057
Saint John Plantation,Aroostook,48,95,154
Holden,Penobscot,918,1166,2147
T19 ED BPP,Washington,0,0,0
Long Pond,Somerset,0,0,0
Prentiss Twp,Penobscot,20,80,103
Dresden,Lincoln,556,643,1236
Littleton,Aroostook,123,396,545
Sumner,Oxford,219,369,613
Mayfield,Somerset,0,0,0
Stetson,Penobscot,233,558,810
Andover,Oxford,215,309,539
Lakeville,Penobscot,37,43,84
Somerville,Lincoln,124,224,366
T11 R7 WELS,Aroostook,0,0,0
T8 R14 WELS,Piscataquis,0,0,0
Greene,Androscoggin,909,1715,2696
Isle au Haut,Knox,0,0,0
Russell Pond,Somerset,0,0,0
Sebago,Cumberland,516,767,1321
Chase Stream,Somerset,0,0,0
T2 R12 WELS,Piscataquis,0,0,0
T14 R12 WELS,Aroostook,0,0,0
Parkman,Piscataquis,138,307,492
Holeb,Somerset,0,0,0
Owls Head,Knox,592,497,1118
Bald Mountain T2 R3,Somerset,0,0,0
Old Orchard Beach,York,3660,2465,6316
T8 R8 WELS,Penobscot,0,0,0
T8 R19 WELS,Somerset,0,0,0
Moxie Gore Twp,Somerset,0,5,5
T7 R18 WELS,Somerset,0,0,0
Acton,York,700,1006,1763
T4 R17 WELS,Somerset,0,0,0
Fairfield,Somerset,1424,1949,3477
Seboeis Plantation,Penobscot,13,13,27
T5 R19 WELS,Somerset,0,0,0
Greenbush,Penobscot,204,524,750
South Thomaston,Knox,616,426,1080
Phippsburg,Sagadahoc,849,762,1643
Whitneyville,Washington,45,66,118
T12 R9 WELS,Aroostook,0,0,0
Industry,Franklin,225,286,522
Medford,Piscataquis,54,124,183
Shirley,Piscataquis,48,112,168
Lexington Twp,Somerset,38,62,106
Cox Patent,Aroostook,0,0,0
T32 MD BPP,Hancock,0,0,0
T9 R15 WELS,Piscataquis,0,0,0
T13 R10 WELS,Aroostook,0,0,0
Madison,Somerset,893,1503,2472
Pittsfield,Somerset,763,1247,2080
Hopkins Academy Grant,Penobscot,0,0,0
Kennebunk,York,5504,2746,8525
Palmyra,Somerset,320,844,1184
St. George,Knox,1076,715,1847
Prospect,Waldo,180,264,454
Hope,Knox,651,456,1148
South Portland,Cumberland,11777,3626,16011
T5 R9 WELS,Piscataquis,0,0,0
Norway,Oxford,1499,1495,3080
T9 R4 WELS,Aroostook,0,0,0
T3 R10 WELS,Piscataquis,0,0,0
Farmingdale,Kennebec,970,838,1855
Limerick,York,849,1138,2070
Hancock,Hancock,681,795,1518
Perry,Washington,205,298,515
T4 R13 WELS,Piscataquis,0,0,0
Strong/Twps,Franklin,278,548,857
Montville,Waldo,341,311,692
Mechanic Falls,Androscoggin,698,1058,1817
Arrowsic,Sagadahoc,265,90,361
T9 R11 WELS,Piscataquis,0,0,0
T4 R10 WELS,Piscataquis,0,0,0
T17 R14 WELS,Aroostook,0,0,0
Norridgewock,Somerset,703,1187,1941
New Portland,Somerset,197,305,517
Wesley,Washington,25,72,98
Kittery,York,4534,1822,6588
Carrabassett Valley,Franklin,369,166,553
Lower Enchanted,Somerset,0,0,0
Hancock County Island,Hancock,0,0,0
Chester,Penobscot,57,252,317
Knox County Island,Knox,0,0,0
Skinner,Franklin,0,0,0
Parsonsfield,York,480,660,1182
Carthage,Franklin,92,235,338
New Sharon,Franklin,398,577,1001
Lisbon,Androscoggin,2232,2786,5194
Bowdoinham,Sagadahoc,1111,906,2106
Winterville Plantation,Aroostook,62,82,146
Upper Molunkus,Aroostook,0,0,0
Winter Harbor,Hancock,146,177,332
Biddeford,York,7118,4031,11541
TD R2 WELS Twp,Aroostook,5,0,5
Lincolnville,Waldo,1120,590,1782
Andover North Surplus,Oxford,0,0,0
T10 R14 WELS,Piscataquis,0,0,0
West Bath,Sagadahoc,777,622,1446
T3 R13 WELS,Piscataquis,0,0,0
Mexico,Oxford,523,729,1287
T2 R10 WELS,Piscataquis,0,0,0
T13 R7 WELS,Aroostook,0,0,0
T3 R4 WELS,Aroostook,0,0,0
Haynesville,Aroostook,11,54,67
T7 R5 WELS Twp,Aroostook,0,3,3
Bowdoin,Sagadahoc,770,1137,1973
Stoneham,Oxford,97,95,202
T6 R14 WELS,Piscataquis,0,0,0
Adamstown,Oxford,0,0,0
Waltham,Hancock,64,188,257
Deblois,Washington,3,39,43
Fort Fairfield,Aroostook,667,975,1696
Buxton,York,2412,2744,5336
T4 R3 WELS,Aroostook,0,0,0
The Forks Plantation,Somerset,12,21,35
Frenchville,Aroostook,214,384,625
Clinton,Kennebec,594,1150,1798
Lincoln,Penobscot,840,1926,2828
T17 R12 WELS,Aroostook,0,0,0
T10 R9 WELS,Piscataquis,0,0,0
Attean,Somerset,0,0,0
Upper Cupsuptic,Oxford,0,0,0
Buckfield,Oxford,433,790,1256
York,York,6055,3337,9680
Frankfort,Waldo,235,454,714
T15 R8 WELS,Aroostook,0,0,0
Beddington,Washington,25,43,68
Waterville,Kennebec,4566,2636,7514
Mattamiscontis Twp,Penobscot,11,46,57
Sherman,Aroostook,100,377,492
T3 R11 WELS,Piscataquis,0,0,0
T7 R15 WELS,Piscataquis,0,0,0
Castle Hill,Aroostook,93,124,220
Howland,Penobscot,241,428,691
Porter,Oxford,325,597,948
Patten,Penobscot,138,362,514
T8 R18 WELS,Somerset,0,0,0
Carmel,Penobscot,580,1234,1847
Hudson,Penobscot,255,605,877
Trout Brook,Piscataquis,0,0,0
Kineo,Piscataquis,0,0,0
T15 R12 WELS,Aroostook,0,0,0
TC R2 WELS,Aroostook,0,0,0
Cathance Twp,Washington,6,9,16
T7 R14 WELS,Piscataquis,0,0,0
T7 R7 WELS,Penobscot,0,0,0
Redington,Franklin,0,0,0
Gorham Gore,Franklin,0,0,0
Webbertown,Aroostook,0,0,0
TA R7 WELS,Penobscot,0,0,0
T1 R9 WELS,Piscataquis,0,0,0
Dallas Plantation,Franklin,104,128,242
T13 R9 WELS,Aroostook,0,0,0
T14 R5 WELS,Aroostook,0,0,0
Township 6 North of Weld,Franklin,0,0,0
Centerville Twp,Washington,2,15,17
Boothbay,Lincoln,1252,919,2227
E Twp,Aroostook,8,31,43
Matinicus Isle Plt,Knox,33,13,48
Surry,Hancock,616,512,1168
Prentiss T4 R4 NBKP,Somerset,0,0,0
T11 R3 NBPP,Washington,0,0,0
Mount Chase,Penobscot,50,99,155
TB R10 WELS,Piscataquis,0,0,0
Whiting,Washington,145,228,388
Windsor,Kennebec,495,1026,1587
Allagash,Aroostook,60,92,154
T12 R12 WELS,Aroostook,0,0,0
Sandy River Plantation,Franklin,64,51,118
Grindstone,Penobscot,0,0,0
Poland,Androscoggin,1512,1971,3600
Lobster,Piscataquis,0,0,0
T14 R15 WELS,Aroostook,0,0,0
Meddybemps,Washington,35,69,105
T9 R3 WELS,Aroostook,0,0,0
T11 R10 WELS,Aroostook,0,0,0
T15 R14 WELS,Aroostook,0,0,0
T34 MD BPP,Hancock,0,0,0
T4 Indian Purchase,Penobscot,0,0,0
Brooklin,Hancock,443,180,654
Hersey,Aroostook,11,29,42
Thomaston,Knox,911,664,1624
Plymouth,Penobscot,216,552,783
Oxbow,Oxford,0,0,0
Williamsburg,Piscataquis,0,0,0
Jim Pond,Franklin,0,0,0
Sakom Twp,Washington,0,1,1
T9 R8 WELS,Aroostook,0,0,0
Rainbow,Piscataquis,0,0,0
Comstock,Somerset,0,0,0
Hammond,Somerset,12,41,55
T5 R20 WELS,Somerset,0,0,0
T8 R15 WELS,Piscataquis,0,0,0
Belgrade,Kennebec,1013,1214,2281
T5 R6 BKP WKR,Somerset,0,0,0
TX R14 WELS,Piscataquis,0,0,0
Dyer Brook,Aroostook,33,114,152
Blanchard,Piscataquis,0,0,0
T3 R4 BKP WKR,Somerset,0,0,0
Charleston,Penobscot,181,596,799
Roque Bluffs,Washington,108,99,213
Brooksville,Hancock,437,220,690
Talmadge,Washington,8,27,37
Wyman Twp,Franklin,2,7,9
Highland Plantation,Somerset,20,18,39
Kingfield,Franklin,390,455,886
T14 R13 WELS,Aroostook,0,0,0
T9 R18 WELS,Somerset,0,0,0
Rockport,Knox,1713,742,2542
Monson,Piscataquis,169,338,525
Mercer,Somerset,194,294,506
Riley,Oxford,0,0,0
Perkins,Franklin,0,0,0
T10 R13 WELS,Piscataquis,0,0,0
New Canada,Aroostook,53,117,176
Perham,Aroostook,59,166,242
Enfield,Penobscot,254,632,912
T18 R13 WELS,Aroostook,0,0,0
Veazie,Penobscot,672,483,1196
Wiscasset,Lincoln,1181,1113,2384
T9 R12 WELS,Piscataquis,0,0,0
T2 R4 WELS,Aroostook,0,0,0
T18 R12 WELS,Aroostook,0,0,0
Wallagrass,Aroostook,140,170,317
Washington County Island,Washington,0,0,0
Great Pond,Hancock,16,26,44
East Moxie,Somerset,0,0,0
Auburn,Androscoggin,6468,5647,12531
T3 ND Twp,Hancock,5,3,8
T5 R15 WELS,Piscataquis,0,0,0
Woodland,Aroostook,230,457,700
